name,vertices,edges,chromatic_number,image_path,leap_1_structure,leap_1_order,leap_2_structure,leap_2_order
2‐path and tetrahedron minus edge,6,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_113.png,D4,8,C2 x C2,4
6‐matchstick graph 10,6,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_114.png,1,1,1,1
fish graph,6,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_115.png,D4,8,C2 x C2,4
7‐matchstick graph 5,6,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_116.png,D4,8,C2 x C2,4
7‐matchstick graph 10,6,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_117.png,C2,2,1,1
8‐matchstick graph 4,6,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_118.png,D4,8,C2 x C2,4
tetrahedron and two singletons,6,6,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_119.png,1,1,1,1
7‐matchstick graph 6,6,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_120.png,1,1,1,1
"(4,1)‐lollipop and singleton",6,7,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_121.png,1,1,1,1
6‐graph 61,6,8,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_122.png,1,1,1,1
7‐matchstick graph 55,6,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_123.png,D4,8,C2 x C2,4
6‐graph 80,6,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_124.png,D4,8,C2 x C2,4
6‐graph 79,6,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_125.png,D4,8,C2 x C2,4
8‐matchstick graph 2,6,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_126.png,C2,2,1,1
8‐matchstick graph 9,6,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_127.png,D4,8,C2 x C2,4
"2‐tree (6,2)",6,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_128.png,D4,8,C2 x C2,4
6‐graph 74,6,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_129.png,C2,2,1,1
house X and singleton,6,8,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_130.png,1,1,1,1
6‐graph 72,6,8,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_131.png,C2,2,1,1
6‐maximally graceful graph 1,6,9,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_132.png,C2,2,1,1
6‐graph 82,6,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_133.png,D4,8,C2 x C2,4
6‐graph 83,6,10,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_134.png,D4,8,C2 x C2,4
6‐graph 99,6,7,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_135.png,D4,8,C2 x C2,4
Beineke graph 2 and singleton,6,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_136.png,1,1,1,1
6‐graph 100,6,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_137.png,D4,8,C2 x C2,4
5‐wheel and singleton,6,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_138.png,1,1,1,1
6‐graph 101,6,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_139.png,D4,8,C2 x C2,4
6‐cycle graph,6,6,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_140.png,C3 x S3,18,C3 x C3,9
domino graph,6,7,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_141.png,(S3 x S3) : C2,72,S3 x S3,36
antenna graph,6,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_142.png,D4,8,C2 x C2,4
7‐matchstick graph 26,6,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_143.png,C3 x S3,18,C3 x C3,9
